TimeSinceAppStart,BatteryVoltage,WeaponThrottle,OrientationX,OrientationY,OrientationZ,BnoAccelerationX,BnoAccelerationY,BnoAccelerationZ,LisAccelerationX,LisAccelerationY,LisAccelerationZ,FusionAccelerationX,FusionAccelerationY,FusionAccelerationZ,EscTemperature,EscVoltage,EscCurrent,EscUsedMah,EscRpm,BnoTemp,BnoCalibrationSystem,BnoCalibrationGyro,BnoCalibrationAccelerometer,BnoCalibrationMagnetometer,SmartHeadingOffset,
1.697949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.716312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.728488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.741755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.756489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.769543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.790091,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.805481,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.820283,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.837437,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.857348,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.87116,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.887114,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.903113,17.075,90,358.1536,179.978,180.9307,-0.316,-0.156,-9.703,24,-9,11,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
1.922572,17.075,90,358.1536,179.978,180.9307,-0.316,-0.156,-9.703,24,-9,11,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
1.936063,17.075,90,358.1536,179.978,180.9307,-0.316,-0.156,-9.703,24,-9,11,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
1.953723,17.075,90,358.1536,179.978,180.9307,-0.316,-0.156,-9.703,24,-9,11,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
1.969783,17.075,90,358.1536,179.978,180.9307,-0.316,-0.156,-9.703,24,-9,11,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
1.987419,17.075,90,358.1536,179.978,180.9307,-0.316,-0.156,-9.703,24,-9,11,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.003156,17.075,90,358.1536,179.978,180.9307,-0.316,-0.156,-9.703,24,-9,11,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.021524,17.075,90,358.1536,179.978,180.9307,-0.316,-0.156,-9.703,24,-9,11,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.038122,17.067,90,358.1466,179.978,180.9307,-0.316,-0.156,-9.742,13,-26,3,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.053354,17.067,90,358.1466,179.978,180.9307,-0.316,-0.156,-9.742,13,-26,3,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.071415,17.067,90,358.1466,179.978,180.9307,-0.316,-0.156,-9.742,13,-26,3,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.088178,17.067,90,358.1466,179.978,180.9307,-0.316,-0.156,-9.742,13,-26,3,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.104935,17.067,90,358.1466,179.978,180.9307,-0.316,-0.156,-9.742,13,-26,3,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.120843,17.067,90,358.1466,179.978,180.9307,-0.316,-0.156,-9.742,13,-26,3,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
